id,name,latitude,longitude,parent_station_id,country,time_zone,is_city,is_main_station,is_airport
188,Peronne,50,2.65,NA,FR,Europe/Paris,TRUE,FALSE,FALSE
189,Peronne Centre,49.934997,2.938987,188,FR,Europe/Paris,FALSE,TRUE,FALSE
190,Peronne la Chapelette,49.924488,2.933359,188,FR,Europe/Paris,FALSE,FALSE,FALSE
191,Albi Ville,43.92238,2.137958,4604,FR,Europe/Paris,FALSE,TRUE,FALSE
192,Orleans Centre,47.90796,1.904666,4894,FR,Europe/Paris,FALSE,TRUE,FALSE
194,Vendome,47.8021498,1.0678728,5846,FR,Europe/Paris,FALSE,FALSE,FALSE
195,Frejus,43.432032,6.732941,4583,FR,Europe/Paris,TRUE,FALSE,FALSE
196,Fontenay-le-Comte,46.46785957735252,-0.809592605,2776,FR,Europe/Paris,FALSE,TRUE,FALSE
197,Acheux-Franleu,50.0826021,1.6574207,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
198,St-Hilaire-de-Riez,NA,NA,NA,FR,Europe/Paris,TRUE,FALSE,FALSE
199,St-Hilaire-de-Riez,46.7166736,-1.9496838,198,FR,Europe/Paris,FALSE,TRUE,FALSE
200,St-Hilaire-de-Riez Centre,46.718728,-1.944618,198,FR,Europe/Paris,FALSE,FALSE,FALSE
201,La Clayette-Baudemont,46.2881469,4.2984195,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
203,Tours,47.389781,0.693703,5338,FR,Europe/Paris,FALSE,TRUE,FALSE
204,Cambrai,50.17662,3.24118,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
205,Aiguebelle,45.5437225,6.3067175,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
207,Agen,44.208311,0.620932,17433,FR,Europe/Paris,FALSE,FALSE,FALSE
208,Ervy-le-Chatel Halles,48.033333,3.916667,5684,FR,Europe/Paris,FALSE,FALSE,FALSE
209,Fays-la-Chapelle,48.133333,4.016667,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
210,Agonac,45.2865966,0.7486706,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
211,Limoges Benedictins,45.836089,1.267356,4651,FR,Europe/Paris,FALSE,TRUE,FALSE
212,Modane,45.193365,6.658161,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
213,Agos,43.033333,-0.066667,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
214,Argenton-sur-Creuse,46.583333,1.516667,NA,FR,Europe/Paris,TRUE,FALSE,FALSE
215,Argenton-sur-Creuse,46.592248,1.518305,214,FR,Europe/Paris,FALSE,TRUE,FALSE
216,Argenton-sur-Creuse Gare Routiere,46.587009,1.503158,214,FR,Europe/Paris,FALSE,FALSE,FALSE
217,Roye,49.69805004945369,2.789722681045532,17478,FR,Europe/Paris,FALSE,TRUE,FALSE
218,Agay,43.4313701,6.8564997,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
220,Versailles,48.7526,2.5735,NA,FR,Europe/Paris,TRUE,FALSE,FALSE
223,Versailles-Chantiers,48.7958264,2.1358827,220,FR,Europe/Paris,FALSE,TRUE,FALSE
224,Villeneuve-au-Chemin,48.082895,3.844281,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
230,Salvagnac,43.916667,1.7,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
232,Maussac,45.483333,2.15,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
233,Aix-en-Provence TGV,43.455237,5.317534,23614,FR,Europe/Paris,FALSE,FALSE,FALSE
234,Mousteru,48.5074512,-3.2435052,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
239,Aillevillers,47.9138876,6.3372988,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
241,Ailly-sur-Noye,49.75448,2.36419,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
246,Ailly-sur-Somme,49.92838,2.20059,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
249,Aigues-Vives (Gard),43.733333,4.166667,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
252,Aiserey,47.170501,5.1582447,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
264,Vicq-sur-Breuilh,45.645578,1.384455,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
265,St-Hilaire-Bonneval,45.716667,1.366667,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
266,Boisseuil,45.766667,1.316667,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
267,Azay-sur-Indre,47.2,0.95,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
286,Mouroux,48.8139949,3.0423421,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
292,Alet-les-Bains,42.9974445,2.2518325,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
293,Allassac,45.2589385,1.4731471,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
295,Albens,45.785946,5.9483418,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
302,Pierre-Buffiere Ville,45.7,1.35,5349,FR,Europe/Paris,FALSE,FALSE,FALSE
303,Aix la Marsalouse,45.614206266734726,2.3984473943710327,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
304,La Ferte-sous-Jouarre,48.950741,3.125577,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
311,Merten,49.25,6.666667,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
313,La Ferte-Milon,49.1797269,3.1207223,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
314,Neuilly-St-Front,49.1871466,3.2710249,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
315,Oulchy-Breny,49.1876743,3.3524421,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
316,Albi Madeleine,43.938011,2.1409629,4604,FR,Europe/Paris,FALSE,FALSE,FALSE
317,Amberieu,45.954008,5.342388,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
322,Auxon Eglise,48.092235,3.923863,9587,FR,Europe/Paris,FALSE,TRUE,FALSE
323,Rehainviller,48.566667,6.466667,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
324,St-Pierremont,48.433333,6.583333,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
325,Leintrey,48.616667,6.733333,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
326,Amenoncourt,48.626383,6.78441,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
327,Magnac Bourg,45.61815,1.43097,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
328,Aigues-Mortes,43.5709008,4.1912102,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
329,Meuzac,45.55,1.433333,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
335,Orville,47.55,5.2,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
336,Torcenay,47.813425,5.470142,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
337,Rosoy-sur-Amance,47.833333,5.533333,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
338,Bize,47.833333,5.633333,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
339,Anrosey,47.833333,5.666667,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
340,Pisseloup,47.833333,5.733333,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
341,Betoncourt-sur-Mance,47.830622,5.759083,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
342,Vernois-sur-Mance,47.851944,5.794042,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
343,Andelot,46.8594671,5.923584,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
344,Angers,47.466667,-0.55,NA,FR,Europe/Paris,TRUE,FALSE,FALSE
345,Angers Maitre Ecole,47.4670899,-0.531894,344,FR,Europe/Paris,FALSE,FALSE,FALSE
346,Blondefontaine,47.883333,5.866667,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
347,Angouleme,45.653572,0.164608,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
348,Raincourt,47.859879227409714,5.885946750640868,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
349,Gevigney,47.8,5.933333,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
350,Baulay,47.783333,6.016667,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
351,Amoncourt,47.733333,6.066667,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
352,Chaux-les-Port,47.713834,6.03311,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
353,Charmoille,47.666667,6.1,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
354,Pusey,47.65,6.133333,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
355,Martigny-les-Gerbonvaux,48.45,5.8,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
356,Autreville,48.483333,5.85,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
358,Mont-le-Vignoble,48.616667,5.85,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
359,Hestroff,49.266667,6.433333,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
360,Vaudreching,49.284483,6.523714,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
361,Alzing,49.283333,6.55,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
363,Villette,49.474443,5.541571,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
364,Colmey-Flabeuville,49.457202,5.555477,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
365,Montigny-sur-Chiers,49.483333,5.666667,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
366,Lexy,49.5,5.733333,8749,FR,Europe/Paris,FALSE,TRUE,FALSE
367,Ingolsheim,48.97402,7.935905,NA,FR,Europe/Paris,FALSE,FALSE,FALSE
